"CO2 emissions by fuel in Slovenia",Value,Year,Units
"Coal",5.628,2000, Mt CO2
"Coal",6.102,2001, Mt CO2
"Coal",6.535,2002, Mt CO2
"Coal",6.113,2003, Mt CO2
"Coal",6.213,2004, Mt CO2
"Coal",6.254,2005, Mt CO2
"Coal",6.405,2006, Mt CO2
"Coal",6.514,2007, Mt CO2
"Coal",6.336,2008, Mt CO2
"Coal",5.893,2009, Mt CO2
"Coal",6.01,2010, Mt CO2
"Coal",6.096,2011, Mt CO2
"Coal",5.788,2012, Mt CO2
"Coal",5.588,2013, Mt CO2
"Coal",4.393,2014, Mt CO2
"Coal",4.44,2015, Mt CO2
"Coal",4.754,2016, Mt CO2
"Coal",4.733,2017, Mt CO2
"Coal",4.623,2018, Mt CO2
"Coal",4.376,2019, Mt CO2
"Coal",4.216,2020, Mt CO2
"Coal",3.868,2021, Mt CO2
"Coal",3.118,2022, Mt CO2
"Oil",6.773,2000, Mt CO2
"Oil",7.059,2001, Mt CO2
"Oil",6.848,2002, Mt CO2
"Oil",6.972,2003, Mt CO2
"Oil",7.09,2004, Mt CO2
"Oil",7.225,2005, Mt CO2
"Oil",7.452,2006, Mt CO2
"Oil",7.321,2007, Mt CO2
"Oil",8.536,2008, Mt CO2
"Oil",7.356,2009, Mt CO2
"Oil",7.456,2010, Mt CO2
"Oil",7.434,2011, Mt CO2
"Oil",7.221,2012, Mt CO2
"Oil",6.801,2013, Mt CO2
"Oil",6.643,2014, Mt CO2
"Oil",6.558,2015, Mt CO2
"Oil",6.919,2016, Mt CO2
"Oil",6.969,2017, Mt CO2
"Oil",6.966,2018, Mt CO2
"Oil",6.71,2019, Mt CO2
"Oil",5.717,2020, Mt CO2
"Oil",6.256,2021, Mt CO2
"Oil",6.903,2022, Mt CO2
"Natural gas",1.647,2000, Mt CO2
"Natural gas",1.712,2001, Mt CO2
"Natural gas",1.696,2002, Mt CO2
"Natural gas",1.841,2003, Mt CO2
"Natural gas",1.868,2004, Mt CO2
"Natural gas",1.885,2005, Mt CO2
"Natural gas",1.846,2006, Mt CO2
"Natural gas",1.84,2007, Mt CO2
"Natural gas",1.838,2008, Mt CO2
"Natural gas",1.74,2009, Mt CO2
"Natural gas",1.841,2010, Mt CO2
"Natural gas",1.72,2011, Mt CO2
"Natural gas",1.657,2012, Mt CO2
"Natural gas",1.614,2013, Mt CO2
"Natural gas",1.459,2014, Mt CO2
"Natural gas",1.548,2015, Mt CO2
"Natural gas",1.643,2016, Mt CO2
"Natural gas",1.722,2017, Mt CO2
"Natural gas",1.688,2018, Mt CO2
"Natural gas",1.714,2019, Mt CO2
"Natural gas",1.715,2020, Mt CO2
"Natural gas",1.807,2021, Mt CO2
"Natural gas",1.606,2022, Mt CO2